831	0	24
831	1	26
831	1	28
831	1	43
831	1	48
831	1	104
831	1	120
831	2	3
831	2	7
831	2	15
831	2	20
831	2	23
831	2	30
831	2	32
831	2	42
831	2	44
831	2	79
831	2	81
831	2	82
831	2	84
831	2	86
831	2	89
831	2	93
831	4	57
831	4	58
831	5	30
831	5	90
831	7	3
831	9	0
831	9	1
831	9	2
831	9	3
831	9	4
831	9	5
831	9	6
831	9	7
831	9	8
831	9	9
831	9	10
831	9	11
831	9	12
831	9	13
831	9	14
831	9	15
831	9	16
831	9	17
831	9	18
831	9	19
831	9	20
831	9	21
831	9	22
831	9	23
831	9	24
831	9	25
831	9	26
831	9	27
831	9	28
831	9	29
831	9	30
831	9	31
831	9	32
831	9	33
831	9	34
831	9	35
831	9	36
831	9	37
831	9	38
831	9	39
831	9	40
831	9	41
831	9	42
831	9	43
831	9	44
831	9	45
831	9	46
831	9	47
831	9	48
831	9	49
831	9	50
831	9	51
831	9	52
831	9	53
831	9	54
831	9	55
831	9	56
831	9	57
831	9	58
831	9	59
831	9	60
831	9	61
831	9	62
831	9	63
831	9	64
831	9	65
831	9	66
831	9	67
831	9	68
831	9	69
831	9	70
831	9	71
831	9	72
831	9	73
831	9	74
831	9	75
831	9	76
831	9	77
831	9	78
831	9	79
831	9	80
831	9	81
831	9	82
831	9	83
831	9	84
831	9	85
831	9	86
831	9	87
831	9	88
831	9	89
831	9	90
831	9	91
831	9	92
831	9	93
831	9	94
831	9	95
831	9	96
831	9	97
831	9	98
831	9	99
831	9	100
831	9	101
831	9	102
831	9	103
831	9	104
831	9	105
831	9	106
831	9	107
831	9	108
831	9	109
831	9	110
831	9	111
831	9	112
831	9	113
831	9	114
831	9	115
831	9	116
831	9	117
831	9	118
831	9	119
831	9	120
831	9	121
831	9	122
831	9	123
831	9	124
831	9	125
831	9	126
831	9	127
831	10	7
831	10	32
831	10	34
831	10	36
831	10	37
831	10	38
831	10	40
831	10	56
831	10	85
831	10	89
831	10	93
831	10	95
831	10	97
831	12	28
831	12	57
831	12	64
831	12	66
831	12	68
831	12	70
831	12	72
831	16	19
831	16	74
831	16	110
831	17	1
831	17	5
831	17	14
831	17	16
831	17	18
831	17	20
831	17	22
831	17	24
831	17	26
831	17	28
831	17	30
831	17	32
831	17	34
831	17	48
831	17	52
831	17	54
831	17	56
831	17	58
831	17	60
831	18	1
831	18	42
831	19	7
831	19	22
831	19	26
831	20	5
831	20	7
831	24	12
831	24	16
831	24	25
831	24	32
831	24	36
831	24	43
831	24	55
831	24	86
831	24	87
831	24	96
831	24	116
831	26	2
831	26	3
831	26	7
831	26	8
831	26	10
831	26	14
831	26	15
831	26	24
831	26	28
831	26	42
831	26	45
831	26	46
831	26	47
831	26	48
831	26	50
831	26	53
831	26	56
831	26	60
831	26	62
831	26	67
831	26	68
831	26	70
831	26	72
831	26	83
831	26	88
831	26	90
831	26	91
831	26	93
831	26	95
831	26	97
831	26	105
831	26	112
831	26	117
831	26	121
831	32	3
831	32	21
831	32	51
831	32	111
831	33	2
831	33	3
831	33	125

